"","p","m","n","l2_Y_bar","l2_theta_hat_SSLS","l2_theta_hat_LS","LCI_Y_bar","LCI_theta_hat_SSLS","LCI_theta_hat_LS"
"1",1,100,100,10.621631,8.75286755803046,1.09857149067264,12.9343608969419,9.55414818694266,3.89069285660592
"2",1,1000,100,10.621631,2.62425766144182,1.09857149067264,12.9343608969419,5.38854987293721,3.89069285660592
"3",10,100,100,11.253507,6.67424314086954,1.12056855538306,13.0299895150071,9.61844727909432,3.88801945377699
"4",10,1000,100,11.253507,2.43592468312862,1.12056855538306,13.0299895150071,5.40788204766964,3.88801945377699
"5",50,100,100,11.3258194,6.41421357539324,2.15298729160414,12.9983189731883,9.59832782686304,3.88758097233973
"6",50,1000,100,11.3258194,3.15649567705076,2.15298729160414,12.9983189731883,5.40331329295815,3.88758097233973
"7",10,100,500,2.36340248,2.11314644166559,0.222326877380574,5.81658281533002,5.35782031875053,1.75186010443707
"8",10,1000,500,2.36340248,1.05944062918689,0.222326877380574,5.81658281533002,3.65055647129411,1.75186010443707
"9",50,100,500,2.16451912,1.79741383277851,0.238576666078773,5.81407273932902,5.35564019674351,1.75333144676687
"10",50,1000,500,2.16451912,0.929814807135575,0.238576666078773,5.81407273932902,3.64974691901233,1.75333144676687
"11",200,100,500,2.152861896,1.91907026057421,0.350553385663475,5.81089467699809,5.35231067205183,1.7444584232284
"12",200,1000,500,2.152861896,0.911563609276055,0.350553385663475,5.81089467699809,3.64536881550402,1.7444584232284
